what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565072866658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1565072870564
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565073311494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565073324948
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1565074083640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074086515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074113375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074116078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074117235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074120016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074136235
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565074136595
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565074136689
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1565074155845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074159424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074160783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1565074160799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074170580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074182066
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565074182425
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565074182519
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1565074253570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074257914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074263227
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565074263602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565074263680
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1565074269446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074271399
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565074272774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074272836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1565074272852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074276180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1565074278774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1565074283243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565074284181
