what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1564459507709
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1564459507709
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1564459507709
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1564459507740
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1564459507740
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1564459507740
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1564459507740
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1564459507756
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1564459507756
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1564459507756
os,sysinfo,,,"win32",1564459507756
arch,sysinfo,,,"x86_64",1564459507756
ws,sysinfo,,,"win32",1564459507756
locale,sysinfo,,,"en_US",1564459507756
processors,sysinfo,,,"4",1564459507756
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1564459507756
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1564459507756
java.specification.name,sysinfo,,,"Java Platform API Specification",1564459507756
java.specification.vendor,sysinfo,,,"Oracle Corporation",1564459507756
java.specification.version,sysinfo,,,"1.8",1564459507756
java.vendor,sysinfo,,,"Oracle Corporation",1564459507756
java.version,sysinfo,,,"1.8.0_191",1564459507756
java.vm.info,sysinfo,,,"mixed mode",1564459507756
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1564459507756
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1564459507756
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1564459507756
java.vm.specification.version,sysinfo,,,"1.8",1564459507756
java.vm.vendor,sysinfo,,,"Oracle Corporation",1564459507756
java.vm.version,sysinfo,,,"25.191-b12",1564459507756
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1564459507771
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1564459508146
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1564459508146
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1564459508334
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1564459508646
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1564459508724
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1564459508849
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1564459509084
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1564459509552
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1564459509552
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1564459509709
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1564459509990
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1564459510131
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1564459510365
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1564459510506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564459516068
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1564459516146
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1564459516240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564459550021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564459556943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564459557771
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1564459561724
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1564459561849
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1564459562818
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1564459562849
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1564459564068
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1564459572224
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1564459572927
