what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565002464519
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565002469050
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565002473957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565002475629
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565002479816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565002481160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565003345326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565003357889
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1565003361593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565003364374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565003376281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1565003376312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565003380015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565003399000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565003404922
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1565003406016
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1565003406391
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1565003406453
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1565003406984
